name,orig_n,orig_m,trial,strategy,frac,gen_n,gen_m,degree_js,pagerank_js
karate,34,78,43,greedy,10,35,68,0.4980550370058923,0.5920276987499723
karate,34,78,44,greedy,10,35,66,0.5076039641118251,0.5712075850298897
karate,34,78,45,greedy,10,36,75,0.2216518422084451,0.8450963124270051
karate,34,78,46,greedy,10,30,69,0.1830263896397278,0.8882441488747265
karate,34,78,47,greedy,10,34,68,0.13658199599101203,0.5265298461412053
karate,34,78,48,greedy,10,37,79,0.15042862810907023,0.807055838575854
karate,34,78,49,greedy,10,33,75,0.25991705256459124,0.6795949153610895
karate,34,78,50,greedy,10,33,69,0.19870402767040024,0.5770730851001089
karate,34,78,1,greedy,20,37,76,0.13250798824932228,0.717198985907581
karate,34,78,2,greedy,20,35,67,0.5114858239120477,0.624480495582589
karate,34,78,3,greedy,20,37,78,0.19364614368421582,0.7705632521503968
karate,34,78,4,greedy,20,37,74,0.18995322432621298,0.7361707967010989
karate,34,78,5,greedy,20,33,71,0.2081456249935406,0.6067860041995683
karate,34,78,6,greedy,20,34,68,0.07646249206086411,0.6909021629005937
karate,34,78,7,greedy,20,33,72,0.20340547552726676,0.5648513459469855
karate,34,78,8,greedy,20,31,64,0.17585073368884396,0.7821421081664406
karate,34,78,9,greedy,20,34,68,0.11950170722781701,0.42996735197337493
karate,34,78,10,greedy,20,35,67,0.48838160435881284,0.5233990291823923
karate,34,78,11,greedy,20,34,64,0.22163397960358577,0.6848165319333334
karate,34,78,12,greedy,20,37,73,0.2101629756507936,0.7665804915792759
karate,34,78,13,greedy,20,35,69,0.5178072504147982,0.5562582889441615
karate,34,78,14,greedy,20,34,69,0.06648129510699598,0.6550333112512049
karate,34,78,15,greedy,20,34,69,0.18746637246109135,0.376400232216086
karate,34,78,16,greedy,20,33,71,0.1943165838417372,0.654921886318588
karate,34,78,17,greedy,20,34,69,0.22175102239797273,0.5300292206488549
karate,34,78,18,greedy,20,37,74,0.2319919830360116,0.6643534361761197
karate,34,78,19,greedy,20,34,67,0.1921102269211657,0.6680355894308078
karate,34,78,20,greedy,20,37,74,0.1701311981231583,0.799088082546895
karate,34,78,21,greedy,20,35,68,0.47565002826551506,0.6144130941950486
karate,34,78,22,greedy,20,36,76,0.24503969411223414,0.853309970077268
karate,34,78,23,greedy,20,36,80,0.22319160892314643,0.8468696333369509
karate,34,78,24,greedy,20,31,66,0.19902451873606672,0.7684067579474344
karate,34,78,25,greedy,20,37,74,0.23988608137560588,0.7776631884323767
karate,34,78,26,greedy,20,30,66,0.25882330308735146,0.8702264823664723
karate,34,78,27,greedy,20,32,61,0.5465461943421794,0.8141969200484721
karate,34,78,28,greedy,20,36,78,0.2498160227712945,0.7552685143015225
karate,34,78,29,greedy,20,34,67,0.16441034033607083,0.4778931752948477
karate,34,78,30,greedy,20,34,69,0.16007316303013064,0.6301502615037111
karate,34,78,31,greedy,20,30,62,0.21788766502699952,0.8589186765132892
karate,34,78,32,greedy,20,33,71,0.2023833738257112,0.6885538827071979
karate,34,78,33,greedy,20,32,62,0.5470639198945723,0.8502475072161984
karate,34,78,34,greedy,20,34,72,0.05433191754902779,0.5127547952447972
karate,34,78,35,greedy,20,35,68,0.5021207045827205,0.5237282945741333
karate,34,78,36,greedy,20,34,73,0.05433191754902779,0.5752885250475314
karate,34,78,37,greedy,20,34,70,0.07836712219795819,0.5023628179250719
karate,34,78,38,greedy,20,35,68,0.5095140461142088,0.5652800235951894
karate,34,78,39,greedy,20,36,76,0.2710869366378437,0.778300394338653
karate,34,78,40,greedy,20,31,66,0.14216209270486954,0.681513817963589
karate,34,78,41,greedy,20,37,73,0.2200071404701058,0.6968134943573105
karate,34,78,42,greedy,20,37,75,0.1652614882674223,0.8605183705129936
karate,34,78,43,greedy,20,34,69,0.14048433930092763,0.5891916607961928
karate,34,78,44,greedy,20,37,76,0.1616386502633663,0.7646095454482764
karate,34,78,45,greedy,20,31,64,0.08172309976571028,0.782035146882481
karate,34,78,46,greedy,20,34,71,0.15988511197723668,0.5219591765504826
karate,34,78,47,greedy,20,34,67,0.15542182263614723,0.47907300632844574
karate,34,78,48,greedy,20,34,69,0.05433191754902779,0.5333252716363605
karate,34,78,49,greedy,20,31,64,0.11923890560132412,0.814686633387862
karate,34,78,50,greedy,20,37,76,0.1616386502633663,0.7773494849524405
karate,34,78,1,greedy,30,34,69,0.11151360395070477,0.5877805374046472
karate,34,78,2,greedy,30,34,70,0.19149303183716698,0.6541947313201953
karate,34,78,3,greedy,30,33,70,0.24104505223805786,0.5802600945521242
karate,34,78,4,greedy,30,31,63,0.20511136169985755,0.8901315178271711
karate,34,78,5,greedy,30,33,72,0.11074860049392268,0.5939398529063001
karate,34,78,6,greedy,30,36,80,0.2231927246998774,0.8246490274084916
karate,34,78,7,greedy,30,36,80,0.18715894645746892,0.8424789279403964
karate,34,78,8,greedy,30,32,61,0.5368348227826539,0.8261557807494434
karate,34,78,9,greedy,30,31,66,0.15056271441521218,0.8527930337581274
karate,34,78,10,greedy,30,36,79,0.23260877235707342,0.7697222318068517
karate,34,78,11,greedy,30,31,67,0.2426726600788095,0.8597034202870906
karate,34,78,12,greedy,30,34,70,0.14528259568396962,0.6255807085114603
karate,34,78,13,greedy,30,36,77,0.2627522270362724,0.7571398778140694
karate,34,78,14,greedy,30,34,65,0.180367279984968,0.7102358612115217
karate,34,78,15,greedy,30,37,76,0.16643848119918334,0.7593628099884117
karate,34,78,16,greedy,30,34,68,0.2061454657790855,0.6445181203681369
karate,34,78,17,greedy,30,35,66,0.5021207045827205,0.5624523179141324
karate,34,78,18,greedy,30,34,70,0.13494681329071107,0.6028397864916253
karate,34,78,19,greedy,30,34,68,0.1707604163492,0.6104619168141
karate,34,78,20,greedy,30,31,63,0.23291666307178627,0.787425398520491
karate,34,78,21,greedy,30,34,72,0.07836712219795819,0.5249523238539413
karate,34,78,22,greedy,30,34,69,0.14816329292226466,0.5461492862909205
karate,34,78,23,greedy,30,37,77,0.17129815414966626,0.7165935228810254
karate,34,78,24,greedy,30,36,80,0.17974990213485054,0.8533113684500115
karate,34,78,25,greedy,30,37,72,0.21177912695549284,0.8027306638889875
karate,34,78,26,greedy,30,36,79,0.17974990213485054,0.7651883192151674
karate,34,78,27,greedy,30,33,68,0.20167388760284571,0.6183476793413333
karate,34,78,28,greedy,30,35,68,0.5021207045827205,0.4468182562969117
karate,34,78,29,greedy,30,34,70,0.14561474830307297,0.6178394123669467
karate,34,78,30,greedy,30,34,69,0.08723079259148597,0.5564840182166529
karate,34,78,31,greedy,30,33,72,0.19810261940960916,0.6752680318683308
karate,34,78,32,greedy,30,33,71,0.1377474776798108,0.6147481515137307
karate,34,78,33,greedy,30,32,62,0.5312061448108077,0.8367605299892386
karate,34,78,34,greedy,30,36,75,0.21561874550907745,0.6906312784204297
karate,34,78,35,greedy,30,31,62,0.1858240507961403,0.7383917657073579
karate,34,78,36,greedy,30,36,75,0.2336066695186612,0.8647618531359995
karate,34,78,37,greedy,30,32,64,0.5778024136110707,0.8433797420530424
karate,34,78,38,greedy,30,37,75,0.1964664984080044,0.8347533989340585
karate,34,78,39,greedy,30,35,70,0.5307382951554682,0.5253421314299881
karate,34,78,40,greedy,30,35,72,0.4825810279661433,0.6578873044486095
karate,34,78,41,greedy,30,37,76,0.15508480030687447,0.722825029542697
karate,34,78,42,greedy,30,34,70,0.14048433930092763,0.7230109908872404
karate,34,78,43,greedy,30,35,68,0.4980550370058923,0.5920276987499723
karate,34,78,44,greedy,30,35,66,0.5076039641118251,0.5712075850298897
karate,34,78,45,greedy,30,36,75,0.2216518422084451,0.8450963124270051
karate,34,78,46,greedy,30,30,69,0.1830263896397278,0.8882441488747265
karate,34,78,47,greedy,30,34,68,0.13658199599101203,0.5265298461412053
karate,34,78,48,greedy,30,37,79,0.15042862810907023,0.807055838575854
karate,34,78,49,greedy,30,33,75,0.25991705256459124,0.6795949153610895
karate,34,78,50,greedy,30,33,69,0.19870402767040024,0.5770730851001089
karate,34,78,1,greedy,40,36,79,0.17975259798574467,0.8526680227150522
