,name,orig_n,orig_m,attr_name,model,mu,clustering,cost,branch_factor,height,graph_dl,num_rules,unique_rules,grammar_dl
89,football,115,613,value,AVRG-mu-random,3,consensus,17593,5.384615384615385,5,60141.85416244832,2,2,60943.50098800364
90,football,115,613,value,AVRG-mu-random,8,consensus,17593,5.384615384615385,5,60141.85416244832,12,12,20473.026976926474
91,football,115,613,value,AVRG-all-tnodes,3,consensus,17593,5.384615384615385,5,60141.85416244832,26,23,5799.855246884779
92,football,115,613,value,VRG-mu-random,4,spectral,24713,3.533333333333333,5,60141.85416244832,32,23,27318.012736990233
93,football,115,613,value,VRG-mu-random,5,spectral,24713,3.533333333333333,5,60141.85416244832,34,25,22754.37263889228
94,football,115,613,value,VRG-mu-random,7,cond,18896,2.0,7,60141.85416244832,22,22,5140.5197890043655
95,football,115,613,value,AVRG-mu-random,7,cond,18896,2.0,7,60141.85416244832,22,21,6515.511730082591
96,football,115,613,value,VRG-mu-random,6,cond,18896,2.0,7,60141.85416244832,34,31,5234.981340933023
97,football,115,613,value,VRG-mu-random,5,cond,18896,2.0,7,60141.85416244832,35,32,5164.2609456902255
98,football,115,613,value,AVRG-mu-random,5,cond,18896,2.0,7,60141.85416244832,35,35,6492.937311192832
99,football,115,613,value,AVRG-mu-random,6,cond,18896,2.0,7,60141.85416244832,34,34,6592.958468066852
100,football,115,613,value,VRG-mu-random,4,cond,18896,2.0,7,60141.85416244832,40,37,4768.343944893969
101,football,115,613,value,VRG-mu-random,6,spectral,24713,3.533333333333333,5,60141.85416244832,34,25,22754.37263889228
102,football,115,613,value,AVRG-mu-random,4,cond,18896,2.0,7,60141.85416244832,40,37,5239.936021518673
103,football,115,613,value,AVRG-mu-random,4,spectral,24713,3.533333333333333,5,60141.85416244832,32,27,29581.650627359624
104,football,115,613,value,VRG-mu-random,4,leiden,62812,4.8,4,60141.85416244832,4,4,32263.680639484057
105,football,115,613,value,AVRG-mu-random,5,spectral,24713,3.533333333333333,5,60141.85416244832,34,29,24551.536067522975
106,football,115,613,value,VRG-mu-random,7,spectral,24713,3.533333333333333,5,60141.85416244832,39,30,7711.549658608154
107,football,115,613,value,VRG-mu-random,5,leiden,62812,4.8,4,60141.85416244832,9,9,30039.24451328898
108,football,115,613,value,AVRG-mu-random,6,spectral,24713,3.533333333333333,5,60141.85416244832,34,29,24551.536067522975
109,football,115,613,value,AVRG-mu-random,4,leiden,62812,4.8,4,60141.85416244832,4,4,56629.90723410478
110,football,115,613,value,AVRG-mu-random,5,leiden,62812,4.8,4,60141.85416244832,9,9,43242.796502399775
111,football,115,613,value,AVRG-mu-random,7,spectral,24713,3.533333333333333,5,60141.85416244832,39,34,8960.10135117296
112,football,115,613,value,VRG-mu-random,6,leiden,62812,4.8,4,60141.85416244832,18,18,12741.36772735623
113,football,115,613,value,VRG-mu-random,7,leiden,62812,4.8,4,60141.85416244832,18,18,10653.18690572129
114,football,115,613,value,AVRG-mu-random,6,leiden,62812,4.8,4,60141.85416244832,18,18,17411.833627078962
115,football,115,613,value,AVRG-mu-random,7,leiden,62812,4.8,4,60141.85416244832,18,18,14507.535745530917
116,football,115,613,value,VRG-mu-random,6,consensus,17593,5.384615384615385,5,60141.85416244832,10,8,25843.402710286555
117,football,115,613,value,VRG-mu-random,5,consensus,17593,5.384615384615385,5,60141.85416244832,3,3,29522.361526906785
118,football,115,613,value,VRG-mu-random,3,infomap,63806,9.76923076923077,2,60141.85416244832,1,1,15927.105233314634
119,football,115,613,value,AVRG-mu-random,4,consensus,17593,5.384615384615385,5,60141.85416244832,2,2,60943.50098800364
120,football,115,613,value,VRG-mu-random,4,consensus,17593,5.384615384615385,5,60141.85416244832,2,2,24824.658309498926
121,football,115,613,value,VRG-mu-random,4,infomap,63806,9.76923076923077,2,60141.85416244832,1,1,15927.105233314634
122,football,115,613,value,AVRG-mu-random,5,consensus,17593,5.384615384615385,5,60141.85416244832,3,3,58848.88949382009
123,football,115,613,value,AVRG-mu-random,6,consensus,17593,5.384615384615385,5,60141.85416244832,10,8,36788.30033537879
124,football,115,613,value,VRG-mu-random,5,infomap,63806,9.76923076923077,2,60141.85416244832,2,2,23764.573270389657
125,football,115,613,value,AVRG-mu-random,4,infomap,63806,9.76923076923077,2,60141.85416244832,1,1,60260.85416244832
126,football,115,613,value,VRG-mu-random,7,consensus,17593,5.384615384615385,5,60141.85416244832,11,11,21845.979913275056
127,football,115,613,value,AVRG-mu-random,3,infomap,63806,9.76923076923077,2,60141.85416244832,1,1,60260.85416244832
128,football,115,613,value,VRG-mu-random,7,infomap,63806,9.76923076923077,2,60141.85416244832,3,3,27773.180206784113
129,football,115,613,value,AVRG-mu-random,7,consensus,17593,5.384615384615385,5,60141.85416244832,11,11,28562.79397535402
130,football,115,613,value,AVRG-mu-random,5,infomap,63806,9.76923076923077,2,60141.85416244832,2,2,58296.40942919984
131,football,115,613,value,VRG-mu-random,6,infomap,63806,9.76923076923077,2,60141.85416244832,3,3,27773.180206784113
132,football,115,613,value,AVRG-mu-random,6,infomap,63806,9.76923076923077,2,60141.85416244832,3,3,55338.5302743148
133,football,115,613,value,AVRG-mu-random,7,infomap,63806,9.76923076923077,2,60141.85416244832,3,3,55338.5302743148
